"time","type"
2706,"NORMAL"
5060,"NORMAL"
6214,"NORMAL"
8246,"NORMAL"
8539,"NORMAL"
8837,"NORMAL"
9710,"NORMAL"
10282,"NORMAL"
11480,"NORMAL"
12350,"NORMAL"
13562,"NORMAL"
14131,"NORMAL"
15011,"NORMAL"
15310,"NORMAL"
15607,"NORMAL"
16755,"NORMAL"
17058,"NORMAL"
17358,"NORMAL"
18227,"NORMAL"
19388,"NORMAL"
20554,"NORMAL"
25485,"NORMAL"
26952,"NORMAL"
27237,"NORMAL"
28132,"NORMAL"
30182,"NORMAL"
30487,"NORMAL"
32836,"NORMAL"
34274,"NORMAL"
34575,"NORMAL"
34870,"NORMAL"
35168,"NORMAL"
35736,"NORMAL"
36016,"NORMAL"
37215,"NORMAL"
38071,"NORMAL"
38356,"NORMAL"
39252,"NORMAL"
40382,"NORMAL"
40970,"NORMAL"
43307,"NORMAL"
44743,"NORMAL"
45323,"NORMAL"
47037,"NORMAL"
48202,"NORMAL"
49040,"NORMAL"
49323,"NORMAL"
50214,"NORMAL"
50771,"NORMAL"
51921,"NORMAL"
52784,"NORMAL"
55064,"NORMAL"
56502,"NORMAL"
57055,"NORMAL"
57333,"NORMAL"
58490,"NORMAL"
59077,"NORMAL"
66307,"NORMAL"
66792,"NORMAL"
67434,"NORMAL"
68302,"NORMAL"
68886,"NORMAL"
70357,"NORMAL"
70941,"NORMAL"
72417,"NORMAL"
73912,"NORMAL"
75332,"NORMAL"
76515,"NORMAL"
77074,"NORMAL"
78251,"NORMAL"
78539,"NORMAL"
79386,"NORMAL"
80583,"NORMAL"
83492,"NORMAL"
85303,"NORMAL"
85870,"NORMAL"
86478,"NORMAL"
86780,"NORMAL"
87652,"NORMAL"
87941,"NORMAL"
88834,"NORMAL"
90286,"NORMAL"
91481,"NORMAL"
91761,"NORMAL"
93246,"NORMAL"
93534,"NORMAL"
95606,"NORMAL"
95893,"NORMAL"
97348,"NORMAL"
99382,"NORMAL"
99930,"NORMAL"
100496,"NORMAL"
103371,"NORMAL"
103669,"NORMAL"
105118,"NORMAL"
105407,"NORMAL"
105707,"NORMAL"
106600,"NORMAL"
107159,"NORMAL"
108045,"NORMAL"
108342,"NORMAL"
109199,"NORMAL"
110963,"NORMAL"
111524,"NORMAL"
112405,"NORMAL"
113850,"NORMAL"
114428,"NORMAL"
114716,"NORMAL"
115280,"NORMAL"
116654,"NORMAL"
117494,"NORMAL"
118323,"NORMAL"
118607,"NORMAL"
120676,"NORMAL"
122461,"NORMAL"
123050,"NORMAL"
124507,"NORMAL"
128423,"NORMAL"
128698,"NORMAL"
130318,"NORMAL"
130568,"NORMAL"
132122,"NORMAL"
133933,"NORMAL"
134197,"NORMAL"
136061,"NORMAL"
136630,"NORMAL"
137729,"NORMAL"
138008,"NORMAL"
138304,"NORMAL"
140599,"NORMAL"
141423,"NORMAL"
144025,"NORMAL"
147290,"NORMAL"
147565,"NORMAL"
149488,"NORMAL"
150030,"NORMAL"
150849,"NORMAL"
151974,"NORMAL"
152237,"NORMAL"
153067,"NORMAL"
153644,"NORMAL"
155291,"NORMAL"
157960,"NORMAL"
158974,"NORMAL"
162035,"NORMAL"
163629,"NORMAL"
163899,"NORMAL"
164461,"NORMAL"
164731,"NORMAL"
165246,"NORMAL"
166301,"NORMAL"
166570,"NORMAL"
167912,"NORMAL"
169907,"NORMAL"
170719,"NORMAL"
171074,"NORMAL"
173067,"NORMAL"
174176,"NORMAL"
174737,"NORMAL"
176145,"NORMAL"
177523,"NORMAL"
180705,"NORMAL"
181811,"NORMAL"
182624,"NORMAL"
183181,"NORMAL"
183475,"NORMAL"
185213,"NORMAL"
185510,"NORMAL"
186717,"NORMAL"
187005,"NORMAL"
187291,"NORMAL"
189043,"NORMAL"
189330,"NORMAL"
190228,"NORMAL"
191977,"NORMAL"
192575,"NORMAL"
193423,"NORMAL"
193994,"NORMAL"
196560,"NORMAL"
199353,"NORMAL"
199619,"NORMAL"
200162,"NORMAL"
200993,"NORMAL"
201545,"NORMAL"
202339,"NORMAL"
202896,"NORMAL"
203741,"NORMAL"
204854,"NORMAL"
205737,"NORMAL"
206567,"NORMAL"
209100,"NORMAL"
209973,"NORMAL"
211654,"NORMAL"
211951,"NORMAL"
212228,"NORMAL"
213058,"NORMAL"
214181,"NORMAL"
214465,"NORMAL"
215563,"NORMAL"
216431,"NORMAL"
216990,"NORMAL"
217547,"NORMAL"
218122,"NORMAL"
219813,"NORMAL"
220977,"NORMAL"
222375,"NORMAL"
222666,"NORMAL"
225195,"NORMAL"
225472,"NORMAL"
225743,"NORMAL"
226024,"NORMAL"
226296,"NORMAL"
227427,"NORMAL"
229936,"NORMAL"
230214,"NORMAL"
231058,"NORMAL"
234959,"NORMAL"
236390,"NORMAL"
238610,"NORMAL"
238884,"NORMAL"
242114,"NORMAL"
242632,"NORMAL"
243388,"NORMAL"
243643,"NORMAL"
244729,"NORMAL"
246352,"NORMAL"
246935,"NORMAL"
247469,"NORMAL"
248878,"NORMAL"
249706,"NORMAL"
250273,"NORMAL"
253159,"NORMAL"
254010,"NORMAL"
255453,"NORMAL"
256027,"NORMAL"
256572,"NORMAL"
258226,"NORMAL"
259280,"NORMAL"
259541,"NORMAL"
260334,"NORMAL"
261968,"NORMAL"
262241,"NORMAL"
262516,"NORMAL"
263641,"NORMAL"
263931,"NORMAL"
265354,"NORMAL"
266815,"NORMAL"
267679,"NORMAL"
268823,"NORMAL"
269102,"NORMAL"
271656,"NORMAL"
271953,"NORMAL"
272533,"NORMAL"
273394,"NORMAL"
273675,"NORMAL"
273967,"NORMAL"
274264,"NORMAL"
275403,"NORMAL"
275949,"NORMAL"
276516,"NORMAL"
277649,"NORMAL"
278518,"NORMAL"
279382,"NORMAL"
279576,"NORMAL"
280209,"NORMAL"
281110,"NORMAL"
281682,"NORMAL"
282233,"NORMAL"
283389,"NORMAL"
283672,"NORMAL"
285936,"NORMAL"
286210,"NORMAL"
288225,"NORMAL"
288793,"NORMAL"
289076,"NORMAL"
289373,"NORMAL"
289667,"NORMAL"
290538,"NORMAL"
291990,"NORMAL"
292281,"NORMAL"
296013,"NORMAL"
296889,"NORMAL"
297738,"NORMAL"
298334,"NORMAL"
298920,"NORMAL"
299756,"NORMAL"
300662,"NORMAL"
302347,"NORMAL"
306337,"NORMAL"
307234,"NORMAL"
309780,"NORMAL"
310627,"NORMAL"
312062,"NORMAL"
312605,"NORMAL"
313194,"NORMAL"
314952,"NORMAL"
315843,"NORMAL"
316693,"NORMAL"
316981,"NORMAL"
318145,"NORMAL"
318729,"NORMAL"
319011,"NORMAL"
319223,"NORMAL"
320205,"NORMAL"
320493,"NORMAL"
320786,"NORMAL"
321072,"NORMAL"
322573,"NORMAL"
323138,"NORMAL"
329619,"NORMAL"
330524,"NORMAL"
331411,"NORMAL"
332897,"NORMAL"
333199,"NORMAL"
333479,"NORMAL"
334056,"NORMAL"
335543,"NORMAL"
336100,"NORMAL"
337571,"NORMAL"
338432,"NORMAL"
340780,"NORMAL"
341974,"NORMAL"
342266,"NORMAL"
344843,"NORMAL"
345129,"NORMAL"
347759,"NORMAL"
348367,"NORMAL"
350112,"NORMAL"
350980,"NORMAL"
351265,"NORMAL"
351481,"NORMAL"
352711,"NORMAL"
353832,"NORMAL"
354426,"NORMAL"
355858,"NORMAL"
357328,"NORMAL"
361894,"NORMAL"
362451,"NORMAL"
362732,"NORMAL"
363606,"NORMAL"
363878,"NORMAL"
364158,"NORMAL"
365022,"NORMAL"
367674,"NORMAL"
368531,"NORMAL"
368824,"NORMAL"
370279,"NORMAL"
370557,"NORMAL"
371406,"NORMAL"
374000,"NORMAL"
374855,"NORMAL"
375412,"NORMAL"
376576,"NORMAL"
377700,"NORMAL"
378005,"NORMAL"
379159,"NORMAL"
379731,"NORMAL"
380312,"NORMAL"
382608,"NORMAL"
382895,"NORMAL"
384027,"NORMAL"
386050,"NORMAL"
386941,"NORMAL"
387533,"NORMAL"
388672,"NORMAL"
389563,"NORMAL"
392204,"NORMAL"
392780,"NORMAL"
393077,"NORMAL"
393957,"NORMAL"
395697,"NORMAL"
398007,"NORMAL"
398294,"NORMAL"
399139,"NORMAL"
399436,"NORMAL"
399730,"NORMAL"
400599,"NORMAL"
400877,"NORMAL"
402933,"NORMAL"
403509,"NORMAL"
404697,"NORMAL"
409597,"NORMAL"
411632,"NORMAL"
412206,"NORMAL"
412512,"NORMAL"
413402,"NORMAL"
413692,"NORMAL"
414249,"NORMAL"
415143,"NORMAL"
415994,"NORMAL"
417445,"NORMAL"
418284,"NORMAL"
418577,"NORMAL"
423164,"NORMAL"
424064,"NORMAL"
424616,"NORMAL"
426661,"NORMAL"
428992,"NORMAL"
430470,"NORMAL"
430754,"NORMAL"
431615,"NORMAL"
432209,"NORMAL"
433648,"NORMAL"
434513,"NORMAL"
435951,"NORMAL"
438865,"NORMAL"
439158,"NORMAL"
439740,"NORMAL"
441518,"NORMAL"
442109,"NORMAL"
442406,"NORMAL"
442623,"NORMAL"
443888,"NORMAL"
445658,"NORMAL"
445948,"NORMAL"
446507,"NORMAL"
447980,"NORMAL"
448264,"NORMAL"
448548,"NORMAL"
448835,"NORMAL"
452390,"NORMAL"
454997,"NORMAL"
456771,"NORMAL"
457635,"NORMAL"
457937,"NORMAL"
459103,"NORMAL"
459664,"NORMAL"
460275,"NORMAL"
461433,"NORMAL"
462014,"NORMAL"
463765,"NORMAL"
465820,"NORMAL"
466404,"NORMAL"
467308,"NORMAL"
467589,"NORMAL"
469363,"NORMAL"
471727,"NORMAL"
472304,"NORMAL"
474943,"NORMAL"
475851,"NORMAL"
477898,"NORMAL"
478195,"NORMAL"
479633,"NORMAL"
480494,"NORMAL"
481941,"NORMAL"
482239,"NORMAL"
482525,"NORMAL"
482801,"NORMAL"
483071,"NORMAL"
488320,"NORMAL"
488931,"NORMAL"
491287,"NORMAL"
491570,"NORMAL"
493046,"NORMAL"
494199,"NORMAL"
495649,"NORMAL"
498230,"NORMAL"
499987,"NORMAL"
500268,"NORMAL"
502039,"NORMAL"
502601,"NORMAL"
502888,"NORMAL"
504654,"NORMAL"
505227,"NORMAL"
506125,"NORMAL"
506679,"NORMAL"
506969,"NORMAL"
507256,"NORMAL"
507855,"NORMAL"
509019,"NORMAL"
511371,"NORMAL"
512851,"NORMAL"
513424,"NORMAL"
514014,"NORMAL"
514318,"NORMAL"
514919,"NORMAL"
516065,"NORMAL"
517266,"NORMAL"
519882,"NORMAL"
521342,"NORMAL"
521913,"NORMAL"
523708,"NORMAL"
525492,"NORMAL"
527838,"NORMAL"
528689,"NORMAL"
531058,"NORMAL"
531668,"NORMAL"
532257,"NORMAL"
532544,"NORMAL"
535459,"NORMAL"
536067,"NORMAL"
538993,"NORMAL"
539278,"NORMAL"
539575,"NORMAL"
540172,"NORMAL"
541052,"NORMAL"
543983,"NORMAL"
544895,"NORMAL"
545182,"NORMAL"
545741,"NORMAL"
547758,"NORMAL"
548032,"NORMAL"
549784,"NORMAL"
551532,"NORMAL"
551815,"NORMAL"
552385,"NORMAL"
557056,"NORMAL"
558238,"NORMAL"
558813,"NORMAL"
562812,"NORMAL"
563142,"NORMAL"
564030,"NORMAL"
565164,"NORMAL"
567721,"NORMAL"
568027,"NORMAL"
569204,"NORMAL"
569482,"NORMAL"
569763,"NORMAL"
570058,"NORMAL"
570366,"NORMAL"
570957,"NORMAL"
571246,"NORMAL"
572122,"NORMAL"
573608,"NORMAL"
574430,"NORMAL"
575678,"NORMAL"
577456,"NORMAL"
580357,"NORMAL"
582119,"NORMAL"
582395,"NORMAL"
584903,"NORMAL"
585175,"NORMAL"
586011,"NORMAL"
589177,"NORMAL"
592288,"NORMAL"
593068,"NORMAL"
593387,"NORMAL"
594563,"NORMAL"
595127,"NORMAL"
595402,"NORMAL"
595992,"NORMAL"
596278,"NORMAL"
597136,"NORMAL"
597670,"NORMAL"
597925,"NORMAL"
598186,"NORMAL"
598458,"NORMAL"
598969,"NORMAL"
601537,"NORMAL"
602330,"NORMAL"
603455,"NORMAL"
603722,"NORMAL"
603989,"NORMAL"
605459,"NORMAL"
605737,"NORMAL"
606293,"NORMAL"
607475,"NORMAL"
608576,"NORMAL"
614539,"NORMAL"
615968,"NORMAL"
616250,"NORMAL"
616803,"NORMAL"
617655,"NORMAL"
620541,"NORMAL"
621102,"NORMAL"
621379,"NORMAL"
621661,"NORMAL"
621944,"NORMAL"
624482,"NORMAL"
625579,"NORMAL"
627555,"NORMAL"
627827,"NORMAL"
628103,"NORMAL"
629171,"NORMAL"
629761,"NORMAL"
630562,"NORMAL"
631110,"NORMAL"
631377,"NORMAL"
632157,"NORMAL"
633768,"NORMAL"
634028,"NORMAL"
635966,"NORMAL"
637704,"NORMAL"
638846,"NORMAL"
640329,"NORMAL"
640615,"NORMAL"
641480,"NORMAL"
641777,"NORMAL"
642337,"NORMAL"
642614,"NORMAL"
643164,"NORMAL"
643439,"NORMAL"
646132,"NORMAL"
647414,"NORMAL"
647672,"NORMAL"
648733,"NORMAL"
